Lot Area,Bedroom AbvGr,Year Built,1st Flr SF,2nd Flr SF,Full Bath,Bsmt Full Bath,Garage Cars,Garage Area,TotalSF,SalePrice
31770,3,1960,1656,0,1,1,2,506,2560,215000
11622,2,1961,896,0,1,0,1,608,3211,105000
14267,3,1958,1329,0,1,0,1,442,2798,172000
11160,3,1968,2110,0,2,1,2,440,2418,244000
13830,3,1997,928,701,2,0,2,420,2355,189900
9978,3,1998,926,678,2,0,2,393,2254,195500
4920,2,2001,1338,0,2,1,2,506,2641,213500
5005,2,1992,1280,0,2,0,2,528,2990,191500
5389,2,1995,1616,0,2,1,2,841,4929,236500
7500,3,1999,1028,776,2,0,2,492,2311,189000
10000,3,1993,763,892,2,0,2,834,3712,175900
7980,3,1992,1187,0,2,1,2,400,1728,185000
8402,3,1998,789,676,2,0,2,500,3615,180400
10176,2,1990,1341,0,1,1,2,546,3688,171500
6820,1,1985,1502,0,1,1,2,528,2226,212000
53504,4,2003,1690,1589,3,1,3,663,2488,538000
12134,4,1988,1080,672,2,0,2,480,2008,164000
11394,1,2010,1856,0,1,1,3,500,2156,394432
19138,2,1951,864,0,1,0,2,304,2112,141000
13175,3,1978,2073,0,2,1,2,525,1764,210000
11751,3,1977,1844,0,2,0,2,0,1728,190000
10625,3,1974,1173,0,2,1,2,511,2742,170000
7500,3,2000,814,860,2,1,2,264,1470,216000
11241,2,1970,1004,0,1,1,2,320,1617,149000
12537,3,1971,1078,0,1,1,2,264,1617,149900
8450,3,1968,1056,0,1,1,1,440,2138,142000
8400,2,1970,882,0,1,1,2,440,2311,126000
10500,3,1971,864,0,1,0,0,308,1672,115000
5858,2,1999,1337,0,2,1,2,440,2311,184000
1680,2,1971,483,504,1,0,1,751,3924,96000
1680,3,1971,525,567,1,0,1,772,3408,105500
1680,3,1971,525,567,1,0,1,606,3870,88000
4043,2,1977,1069,0,2,0,2,868,3088,127500
2280,3,1975,855,601,2,0,2,532,3082,149900
2280,2,1975,836,0,1,0,1,730,3396,120000
2280,3,1978,855,601,2,0,2,678,3644,146000
12858,3,2009,1627,707,2,0,3,532,3052,376162
11478,3,2007,1704,0,2,1,3,820,4694,306000
10159,3,2009,1940,0,2,1,3,484,2716,395192
12883,3,2009,1544,0,2,0,3,958,5542,290941
